id_registro,id_pessoa,id_produto,classe,valor,gerado_em
20260416_111053_000001,11,1,1,151.29,2026-04-16 11:10:53.751284
20260416_111053_000002,43,3,1,453.95,2026-04-16 11:10:53.751299
20260416_111053_000003,89,2,1,493.55,2026-04-16 11:10:53.751309
20260416_111053_000004,1,4,1,470.92,2026-04-16 11:10:53.751317
20260416_111053_000005,4,3,1,235.7,2026-04-16 11:10:53.751325
20260416_111053_000006,12,1,2,297.68,2026-04-16 11:10:53.751332
20260416_111053_000007,2,3,3,184.83,2026-04-16 11:10:53.751339
20260416_111053_000008,1,2,1,242.15,2026-04-16 11:10:53.751346
20260416_111053_000009,63,2,1,212.99,2026-04-16 11:10:53.751355
20260416_111053_000010,18,2,1,188.92,2026-04-16 11:10:53.751362
20260416_111053_000011,90,2,1,329.98,2026-04-16 11:10:53.751370
20260416_111053_000012,7,1,1,177.37,2026-04-16 11:10:53.751379
20260416_111053_000013,65,4,1,218.86,2026-04-16 11:10:53.751386
20260416_111053_000014,67,1,1,412.2,2026-04-16 11:10:53.751393
20260416_111053_000015,53,4,1,248.08,2026-04-16 11:10:53.751399
20260416_111053_000016,20,1,3,436.56,2026-04-16 11:10:53.751406
20260416_111053_000017,13,3,2,368.1,2026-04-16 11:10:53.751413
20260416_111053_000018,5,1,1,227.95,2026-04-16 11:10:53.751420
20260416_111053_000019,79,1,2,228.27,2026-04-16 11:10:53.751426
20260416_111053_000020,8,3,1,401.82,2026-04-16 11:10:53.751433
20260416_111053_000021,60,2,1,317.09,2026-04-16 11:10:53.751439
20260416_111053_000022,41,4,1,109.31,2026-04-16 11:10:53.751446
20260416_111053_000023,8,1,1,349.04,2026-04-16 11:10:53.751452
20260416_111053_000024,4,2,2,349.19,2026-04-16 11:10:53.751459
20260416_111053_000025,1,4,2,180.8,2026-04-16 11:10:53.751466
20260416_111053_000026,68,1,1,456.22,2026-04-16 11:10:53.751472
20260416_111053_000027,29,1,2,110.66,2026-04-16 11:10:53.751479
20260416_111053_000028,22,4,1,318.51,2026-04-16 11:10:53.751487
20260416_111053_000029,29,3,2,357.68,2026-04-16 11:10:53.751495
20260416_111053_000030,8,3,2,302.77,2026-04-16 11:10:53.751501
20260416_111053_000031,66,3,1,209.9,2026-04-16 11:10:53.751508
20260416_111053_000032,39,2,1,163.86,2026-04-16 11:10:53.751514
20260416_111053_000033,1,3,1,412.06,2026-04-16 11:10:53.751521
20260416_111053_000034,10,1,1,455.88,2026-04-16 11:10:53.751530
20260416_111053_000035,17,3,1,267.67,2026-04-16 11:10:53.751536
20260416_111053_000036,32,2,3,412.53,2026-04-16 11:10:53.751543
20260416_111053_000037,1,2,3,110.6,2026-04-16 11:10:53.751549
20260416_111053_000038,46,4,1,143.27,2026-04-16 11:10:53.751556
20260416_111053_000039,9,4,2,465.92,2026-04-16 11:10:53.751562
20260416_111053_000040,75,1,1,400.63,2026-04-16 11:10:53.751569
20260416_111053_000041,1,3,2,199.21,2026-04-16 11:10:53.751575
20260416_111053_000042,6,2,1,447.47,2026-04-16 11:10:53.751582
20260416_111053_000043,2,2,2,395.6,2026-04-16 11:10:53.751589
20260416_111053_000044,1,3,1,421.1,2026-04-16 11:10:53.751595
20260416_111053_000045,78,3,2,385.18,2026-04-16 11:10:53.751602
20260416_111053_000046,4,1,1,204.88,2026-04-16 11:10:53.751608
20260416_111053_000047,13,2,2,484.88,2026-04-16 11:10:53.751615
20260416_111053_000048,27,3,1,315.48,2026-04-16 11:10:53.751623
20260416_111053_000049,23,4,1,212.07,2026-04-16 11:10:53.751630
20260416_111053_000050,1,3,1,287.39,2026-04-16 11:10:53.751636
20260416_111053_000051,96,3,1,391.7,2026-04-16 11:10:53.751643
20260416_111053_000052,16,3,1,220.58,2026-04-16 11:10:53.751649
20260416_111053_000053,2,3,3,189.65,2026-04-16 11:10:53.751656
20260416_111053_000054,25,3,2,117.58,2026-04-16 11:10:53.751663
